change_2017_24,country,major_area,region
313.1,Mexico,Latin America and the Caribbean,Central America
303.5,Kyrgyzstan,Asia,Central Asia
298.7,Poland,Europe,Eastern Europe
290.6,Lebanon,Asia,Western Asia
285.1,Mauritius,Africa,Eastern Africa
276.9,Jamaica,Latin America and the Caribbean,Caribbean
267.8,France,Europe,Western Europe
260.7,Dominica,Latin America and the Caribbean,Caribbean
258.3,Algeria,Africa,Northern Africa
257.1,Mongolia,Asia,Eastern Asia
254.8,Portugal,Europe,Southern Europe
248.0,India,Asia,Southern Asia
247.0,Ireland,Europe,Northern Europe
246.0,Serbia,Europe,Southern Europe
242.0,Trinidad and Tobago,Latin America and the Caribbean,Caribbean
241.5,Greece,Europe,Southern Europe
232.3,China,Asia,Eastern Asia
231.3,Spain,Europe,Southern Europe
223.1,United States,Northern America,Northern America
221.7,Libya,Africa,Northern Africa
214.8,Austria,Europe,Western Europe
213.5,Denmark,Europe,Northern Europe
203.6,Moldova,Europe,Eastern Europe
202.9,Sierra Leone,Africa,Western Africa
201.4,Montenegro,Europe,Southern Europe
195.4,Canada,Northern America,Northern America
192.4,Finland,Europe,Northern Europe
191.6,Italy,Europe,Southern Europe
188.6,Bangladesh,Asia,Southern Asia
186.7,Yemen,Asia,Western Asia
184.0,Antigua and Barbuda,Latin America and the Caribbean,Caribbean
183.1,Japan,Asia,Eastern Asia
181.6,Australia,Oceania,Australia and New Zealand
181.3,Slovenia,Europe,Southern Europe
180.1,Malta,Europe,Southern Europe
179.3,Benin,Africa,Western Africa
178.0,New Zealand,Oceania,Australia and New Zealand
176.2,Dominican Republic,Latin America and the Caribbean,Caribbean
175.9,Türkiye,Asia,Western Asia
166.3,Senegal,Africa,Western Africa
165.6,Bahamas,Latin America and the Caribbean,Caribbean
164.8,Switzerland,Europe,Western Europe
159.7,Netherlands,Europe,Western Europe
159.1,Mozambique,Africa,Eastern Africa
157.0,Myanmar (Burma),Asia,South-Eastern Asia
156.5,Pakistan,Asia,Southern Asia
155.1,Uganda,Africa,Eastern Africa
142.9,Indonesia,Asia,South-Eastern Asia
142.3,Ghana,Africa,Western Africa
140.0,Rwanda,Africa,Eastern Africa
139.5,Russia,Europe,Eastern Europe
137.5,Hungary,Europe,Eastern Europe
136.9,Luxembourg,Europe,Western Europe
136.5,Nigeria,Africa,Western Africa
136.4,Morocco,Africa,Northern Africa
132.0,Belarus,Europe,Eastern Europe
131.1,Ukraine,Europe,Eastern Europe
129.8,Zimbabwe,Africa,Eastern Africa
129.7,Armenia,Asia,Western Asia
124.9,Croatia,Europe,Southern Europe
124.7,Estonia,Europe,Northern Europe
124.6,Kazakhstan,Asia,Central Asia
123.3,Grenada,Latin America and the Caribbean,Caribbean
121.1,Vanuatu,Oceania,Melanesia
120.1,Barbados,Latin America and the Caribbean,Caribbean
117.9,United Kingdom,Europe,Northern Europe
117.5,Saint Vincent and the Grenadines,Latin America and the Caribbean,Caribbean
113.9,Slovakia,Europe,Eastern Europe
112.4,Tanzania,Africa,Eastern Africa
104.2,Romania,Europe,Eastern Europe
101.3,Congo,Africa,Middle Africa
100.8,Czechia,Europe,Eastern Europe
98.2,Latvia,Europe,Northern Europe
98.2,South Africa,Africa,Southern Africa
97.7,North Macedonia,Europe,Southern Europe
93.7,Georgia,Asia,Western Asia
92.9,Hong Kong (SAR),Asia,Eastern Asia
90.3,Norway,Europe,Northern Europe
89.9,Singapore,Asia,South-Eastern Asia
89.0,Kosovo,Europe,Southern Europe
86.9,Belgium,Europe,Western Europe
85.1,Macau (SAR),Asia,Eastern Asia
81.2,Germany,Europe,Western Europe
80.0,Bulgaria,Europe,Eastern Europe
78.7,Gabon,Africa,Middle Africa
77.5,Sweden,Europe,Northern Europe
68.3,Iceland,Europe,Northern Europe
66.5,Turkmenistan,Asia,Central Asia
65.7,Liechtenstein,Europe,Western Europe
65.3,Bosnia and Herzegovina,Europe,Southern Europe
65.0,Lithuania,Europe,Northern Europe
64.6,Mali,Africa,Western Africa
64.5,Tunisia,Africa,Northern Africa
61.1,Djibouti,Africa,Eastern Africa
55.5,San Marino,Europe,Southern Europe
54.0,Togo,Africa,Western Africa
53.6,Tajikistan,Asia,Central Asia
53.0,Suriname,Latin America and the Caribbean,South America
52.9,Fiji,Oceania,Melanesia
49.0,Iran,Asia,Southern Asia
45.6,Angola,Africa,Middle Africa
44.8,Namibia,Africa,Southern Africa
44.7,Zambia,Africa,Eastern Africa
39.9,Western Sahara,Oceania,Melanesia
33.4,Somalia,Africa,Eastern Africa
32.4,Papua New Guinea,Oceania,Melanesia
29.7,South Korea,Asia,Eastern Asia
26.0,Monaco,Europe,Western Europe
23.6,Niger,Africa,Western Africa
21.8,Malawi,Africa,Eastern Africa
19.6,Sri Lanka,Asia,Southern Asia
17.0,Botswana,Africa,Southern Africa
15.6,Seychelles,Africa,Eastern Africa
11.9,Maldives,Asia,Southern Asia
10.3,Cameroon,Africa,Middle Africa
-13.4,East Timor,Asia,South-Eastern Asia
-14.9,Andorra,Europe,Southern Europe
-16.8,Madagascar,Africa,Eastern Africa
-17.5,Sudan,Africa,Northern Africa
-19.3,Gambia,Africa,Western Africa
-19.6,Lesotho,Africa,Southern Africa
-23.6,Kenya,Africa,Eastern Africa
-32.6,Guinea,Africa,Western Africa
-34.7,Micronesia,Oceania,Micronesia
-35.2,Burundi,Africa,Eastern Africa
-39.6,Bhutan,Asia,Southern Asia
-43.6,Syria,Asia,Western Asia
-44.1,Afghanistan,Asia,Southern Asia
-45.2,Swaziland,Africa,Southern Africa
-48.3,Equatorial Guinea,Africa,Middle Africa
-58.7,Cape Verde,Africa,Western Africa
-58.9,Liberia,Africa,Western Africa
-83.1,Ethiopia,Africa,Eastern Africa
-83.9,Cuba,Latin America and the Caribbean,Caribbean
